,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.23139E+14,D-10-23 32ABB,628360,270.3,4132.7,12/2/1999,STANDARD,450,16,UNUSED,6/28/1965,32.527222,110.015
FALSE,3.2314E+14,D-10-23 32AAB,622074,210,4200,12/24/1964,STANDARD,500,16,IRRIGATION,12/24/1964,32.527778,110.01
FALSE,3.23206E+14,D-10-23 28CBB,,167,4263,2/1/1975,STANDARD,,6,UNUSED,,32.535,110.005833
FALSE,3.2322E+14,D-10-23 29ACD,628336,319.5,4093.5,1/6/2015,STANDARD,433,16,IRRIGATION,6/14/1965,32.537193,110.011749
FALSE,3.23304E+14,D-10-23 21ADD,618063,,,,STANDARD,602,,IRRIGATION,,32.551111,109.99
FALSE,3.23324E+14,D-10-23 19BBA,615740,,,,STANDARD,,6,UNUSED,,32.556667,110.037222
FALSE,3.23415E+14,D-10-23 14ABC,628364,,,,STANDARD,,6,UNUSED,,32.570833,109.963889
FALSE,3.23427E+14,D-10-23 11CDA,,380.2,4126.8,12/13/2005,STANDARD,,,IRRIGATION,,32.574417,109.965528
FALSE,3.23522E+14,D-10-23 02CCA2,,42.1,4497.9,12/12/2005,STANDARD,,36,UNUSED,,32.590111,109.969444
FALSE,3.23654E+14,D-09-23 35ABB,615666,78.7,4591.3,3/15/2006,STANDARD,430,16,UNUSED,1/3/1958,32.615778,109.962694
FALSE,3.23746E+14,D-09-23 25BBA,,,,,STANDARD,97,,UNUSED,2/1/1958,32.629444,109.952778
FALSE,3.23831E+14,D-09-23 21ABC2,618070,52.3,4714.7,12/9/2005,STANDARD,160,8,STOCK,,32.655194,109.998833
FALSE,3.13523E+14,D-21-28 21ADD,607267,19.2,4660.8,1/6/2021,STANDARD,50,6,UNUSED,1/1/1952,31.589694,109.491472
FALSE,3.13527E+14,D-21-28 22BDA,607266,26.4,4688.6,1/6/2021,STANDARD,65,6,UNUSED,1/1/1952,31.591611,109.482056
FALSE,3.13535E+14,D-21-28 22ABC,607265,28.3,4686.7,1/6/2021,STANDARD,65,6,UNUSED,1/1/1953,31.593083,109.480528
FALSE,3.13839E+14,D-20-28 33DCA,611840,14.58,4975.42,1/8/2015,STANDARD,,60,STOCK,,31.644167,109.486111
FALSE,3.14013E+14,D-20-29 20CDC,,,,,STANDARD,,6,DOMESTIC,,31.670278,109.406111
FALSE,3.14017E+14,D-20-29 19DCB,202131,,,,STANDARD,170,12,STOCK,2/27/2004,31.671417,109.4175
FALSE,3.14158E+14,D-20-28 09CDC,645295,29.2,5168.8,1/12/2021,STANDARD,51,32,UNUSED,,31.699611,109.492278
FALSE,3.143E+14,D-20-28 03CCA,805966,,,,STANDARD,20,6,UNUSED,,31.716667,109.477222
FALSE,3.1443E+14,D-19-28 35AAA,,459.3,4580.7,1/23/1990,STANDARD,,4,STOCK,,31.742778,109.446111
FALSE,3.14432E+14,D-19-28 32BAA,628613,42,5238,5/1/1967,STANDARD,270,18,IRRIGATION,5/1/1967,31.742222,109.508056
FALSE,3.14436E+14,D-19-28 28DCD,628614,140.3,4837.7,1/12/2021,STANDARD,166,8.63,UNUSED,6/1/1977,31.743306,109.4835
FALSE,3.14517E+14,D-19-29 30ADA,641178,10.01,5314.99,1/6/2015,STANDARD,80,,STOCK,,31.754611,109.411806
FALSE,3.14644E+14,D-19-27 14CAB,521100,22.3,4573.7,1/25/1990,STANDARD,100,8,STOCK,7/7/1988,31.779167,109.566111
FALSE,3.15056E+14,D-18-27 22DDD,,,,,STANDARD,,8,DOMESTIC,,31.845833,109.577778
FALSE,3.15117E+14,D-18-28 19ACC1,632943,9.7,4675.3,11/29/2005,STANDARD,23,60,DOMESTIC,,31.854722,109.532778
FALSE,3.15127E+14,D-18-24 22BAC2,647458,24.4,4813.6,12/8/1999,STANDARD,85,6,STOCK,,31.858583,109.892306
