,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.52512E+14,B-24-17 32CCD,,,,,STANDARD,,,STOCK,,35.42,114.123889
FALSE,3.53917E+14,B-26-18 07CAA,582858,,,,STANDARD,605,7,DOMESTIC,9/21/2000,35.654667,114.247861
FALSE,3.50756E+14,B-20-15 09ACD,,,,,STANDARD,,,STOCK,,35.132222,113.864167
FALSE,3.511E+14,B-21-15 22DD,,,,,STANDARD,,,DOMESTIC,,35.183333,113.855556
FALSE,3.51109E+14,B-21-16 23DBC,,16.8,3988.2,3/11/1980,STANDARD,30,,UNUSED,,35.185833,113.945278
FALSE,3.52205E+14,B-23-14 24BAB2,,62.2,3499.8,11/10/1995,STANDARD,222,20,MINING,1/1/1962,35.369915,113.723274
FALSE,3.52747E+14,B-24-17 14CDD1,,9.3,3427.7,2/27/1980,STANDARD,40,8,STOCK,,35.463056,114.065833
FALSE,3.54728E+14,B-28-17 29AAD,924458,,,,STANDARD,1120,30,IRRIGATION,8/2/2020,35.790997,114.113858
FALSE,3.55035E+14,B-28-19 03DAA,917457,847.4,3152.6,3/22/2023,STANDARD,20,7,UNUSED,10/23/2014,35.843083,114.291885
FALSE,3.51245E+14,B-21-16 10DDA,905221,,,,STANDARD,,,UNUSED,,35.212667,113.959663
FALSE,3.5163E+14,B-22-16 20DAA,571222,617.7,2705.3,3/14/2023,STANDARD,1200,8.62,OBSERVATION,11/30/1998,35.275139,113.993611
FALSE,3.51725E+14,B-22-17 15CDA,913497,,,,STANDARD,400,7,DOMESTIC,8/23/2017,35.290167,114.085167
FALSE,3.51744E+14,B-22-17 15BDC,208718,,,,STANDARD,385,7,DOMESTIC,8/25/2005,35.295472,114.086
FALSE,3.51916E+14,B-22-17 04CBA,,,,,STANDARD,,,STOCK,,35.321111,114.103611
FALSE,3.52318E+14,B-23-14 09DBC,587720,,,,STANDARD,505,7,DOMESTIC,11/5/2001,35.388417,113.770333
FALSE,3.52525E+14,B-24-17 35CAB,631624,88.2,3656.8,11/8/1995,STANDARD,260,,UNUSED,,35.423611,114.07
FALSE,3.54439E+14,B-27-19 12ACD,642298,24.7,4115.3,3/22/2023,STANDARD,45,,STOCK,,35.742973,114.262001
FALSE,3.5501E+14,B-28-17 09AAA,206465,589.7,2970.3,2/9/2018,STANDARD,1480,6.63,UNUSED,2/22/2005,35.83625,114.096222
FALSE,3.51234E+14,B-21-16 17ABB,592706,,,,STANDARD,790,8.63,DOMESTIC,6/12/2002,35.209333,114.000944
FALSE,3.51638E+14,B-22-15 24ADC,,,,,STANDARD,38,,STOCK,,35.277222,113.816389
FALSE,3.51928E+14,B-22-16 02ABD,572015,420.4,2782.6,2/13/2018,STANDARD,650,8.62,OBSERVATION,2/16/1999,35.324472,113.947028
